unit,sex,age,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,T,Y25-29,TOTAL,IS	: bu	3.0 	: u	: u	10.7 	9.4 	8.5 	7.5 	7.3 	7.3 	4.0 	3.2 
PC,T,Y25-29,TOTAL,IT	13.1 b	11.6 	10.4 	11.1 	13.3 	14.8 	14.4 	18.1 	22.2 	23.6 	22.4 	21.9 
PC,T,Y25-29,TOTAL,LT	6.4 bu	4.9 u	4.6 u	6.1 u	15.1 	20.8 	15.7 	14.3 	13.4 	11.0 	9.8 	7.2 
PC,T,Y25-29,TOTAL,LU	4.7 b	6.7 	5.5 b	10.8 	6.7 b	5.3 	6.3 	6.7 	8.6 	7.7 	8.2 b	5.9 
PC,T,Y25-29,TOTAL,LV	9.8 b	7.2 	6.5 	8.5 	19.5 	21.2 	16.6 	14.6 	11.3 	10.7 	10.6 	10.8 
PC,T,Y25-29,TOTAL,MK	: 	44.8 	42.5 	40.3 	37.7 	39.4 	40.6 	41.5 	40.5 	39.3 	39.0 	35.2 
PC,T,Y25-29,TOTAL,MT	5.1 b	6.1 	5.3 	4.7 	5.2 	6.3 	5.7 	5.4 	5.7 	5.7 	5.4 	3.8 
PC,T,Y25-29,TOTAL,NL	4.3 b	3.4 	2.4 	2.2 	3.4 	4.4 b	4.6 b	5.6 	7.4 	7.2 	6.5 	5.3 
PC,T,Y25-29,TOTAL,NO	5.5 b	4.4 b	3.0 	3.5 	3.6 	5.3 	4.9 	4.3 	5.3 	5.7 	6.1 	6.6 
PC,T,Y25-29,TOTAL,PL	20.2 b	15.3 	10.6 	8.2 	9.8 	12.0 b	12.0 	13.1 	13.6 	11.8 	10.1 	8.1 
PC,T,Y25-29,TOTAL,PT	11.0 b	11.2 	11.7 	10.8 	12.1 	14.6 	16.0 b	20.0 	21.9 	18.3 	15.8 	15.4 
PC,T,Y25-29,TOTAL,RO	8.7 b	9.4 	7.6 	6.7 	8.4 	9.6 b	9.6 	10.3 	10.6 	10.5 	10.2 	9.0 
PC,T,Y25-29,TOTAL,SE	10.6 b	8.7 	7.0 	6.7 	9.6 	10.0 	8.6 	9.5 	9.3 	9.1 	8.7 	7.8 
PC,T,Y25-29,TOTAL,SI	9.3 b	10.4 	8.1 	6.5 	10.1 	13.0 	14.2 	15.0 	17.4 	18.0 	16.1 	14.3 
PC,T,Y25-29,TOTAL,SK	16.3 b	12.4 	11.5 	10.5 	13.7 	16.7 	16.8 b	17.9 	18.6 	16.1 	12.2 	11.4 
PC,T,Y25-29,TOTAL,TR	: 	11.1 	10.9 	11.8 	15.7 	13.3 	11.3 	10.9 	11.5 	12.9 b	13.0 	14.5 
PC,T,Y25-29,TOTAL,UK	5.0 b	5.5 	4.9 b	5.7 b	8.3 	8.2 	8.9 	8.7 	8.1 	6.9 	6.0 	5.1 
PC,T,Y25-54,TOTAL,AT	4.8 b	4.6 	4.2 b	3.6 	4.7 	4.4 	4.0 	4.3 	4.9 	5.2 	5.2 	5.4 
PC,T,Y25-54,TOTAL,BE	7.4 b	7.2 	6.6 	6.1 	6.8 	7.3 	6.4 b	6.7 	7.4 	7.6 	7.7 	7.1 
PC,T,Y25-54,TOTAL,BG	9.0 b	8.0 	6.1 	4.9 b	6.0 	9.4 b	10.5 b	11.3 	11.8 	10.5 	8.5 	7.1 
PC,T,Y25-54,TOTAL,CH	3.8 b	3.5 	3.2 	2.9 	3.7 	4.5 b	4.1 	4.1 	4.5 	4.6 	4.4 	4.7 
PC,T,Y25-54,TOTAL,CY	4.5 b	4.1 	3.4 	3.2 	4.6 b	5.4 	6.8 	10.5 	13.9 	13.9 	13.1 	11.7 
PC,T,Y25-54,TOTAL,CZ	7.1 b	6.4 	4.9 	4.0 	5.9 	6.4 	5.9 b	6.1 	6.2 	5.6 	4.6 	3.5 
PC,T,Y25-54,TOTAL,DE	10.4 b	9.5 	8.0 	7.0 	7.3 	6.5 b	5.4 b	5.0 	4.9 	4.7 	4.4 	3.9 
PC,T,Y25-54,TOTAL,DK	4.1 b	3.2 	3.1 	2.6 	5.2 	6.6 	6.6 	6.7 	6.3 	5.9 	5.7 	5.5 b
PC,T,Y25-54,TOTAL,EA18	8.0 b	7.4 	6.6 	6.7 	8.6 	9.2 	9.3 	10.6 	11.3 	11.0 	10.3 	9.5 
PC,T,Y25-54,TOTAL,EA19	8.0 b	7.4 	6.6 	6.7 	8.6 	9.3 	9.4 	10.6 	11.3 	11.0 	10.3 	9.5 
PC,T,Y25-54,TOTAL,EE	7.7 b	5.6 	4.2 	4.9 	12.8 	15.1 	11.5 	9.5 	8.3 	7.2 	5.5 	5.9 
PC,T,Y25-54,TOTAL,EL	9.2 b	8.2 	7.8 	7.2 	9.0 b	12.1 	17.2 	23.7 	26.9 	26.0 	24.4 	22.8 
PC,T,Y25-54,TOTAL,ES	8.0 b	7.5 	7.2 	10.1 	16.3 	18.4 	19.9 	23.3 	24.5 	22.8 	20.6 	18.2 
PC,T,Y25-54,TOTAL,EU27	7.9 b	7.2 	6.2 	6.1 	7.9 	8.6 	8.6 	9.5 	9.9 	9.4 	8.7 	7.9 
PC,T,Y25-54,TOTAL,EU28	7.9 b	7.2 	6.2 	6.1 	7.9 	8.6 	8.6 	9.5 	10.0 	9.4 	8.7 	7.9 
PC,T,Y25-54,TOTAL,FI	6.8 b	6.1 	5.3 	4.9 b	6.6 	6.8 	6.1 	6.1 	6.6 	7.1 	7.7 	7.4 
PC,T,Y25-54,TOTAL,FR	7.5 b	7.2 	6.6 	6.0 	7.3 	7.6 	7.7 	8.3 	8.7 	9.2 b	9.3 	8.9 
PC,T,Y25-54,TOTAL,HR	10.9 b	9.9 b	8.7 	7.2 	8.0 	10.2 	12.4 	14.5 	15.5 	15.3 	14.4 	11.6 
